image_name,source_folder,image_key,image_name.1,listing_url,photo_url,price,title,location,origin_city_list
89a666f9b74902679c19fbf5339baba2_352886600_6308751702536522_3256442954573697225_n.jpg,"Single_saw_(circular,_reciprocating,_jigsaw)_(out_of_box)",352886600_6308751702536522_3256442954573697225_n.jpg,89a666f9b74902679c19fbf5339baba2_352886600_6308751702536522_3256442954573697225_n.jpg,https://www.facebook.com/marketplace/item/244049368235059/,cedar_rapid_ia_500mi_exact_files/352886600_6308751702536522_3256442954573697225_n.jpg,$40,Ryobi Orbital Jig saw,"Minneapolis, MN",cedar_rapid_ia_500mi_exact
7c3511c47eca5a3a87fa00d70a4637a5_488202851_524911753995307_1044994969615489661_n.jpg,Miscellaneous_Ryobi_tool_sets,488202851_524911753995307_1044994969615489661_n.jpg,7c3511c47eca5a3a87fa00d70a4637a5_488202851_524911753995307_1044994969615489661_n.jpg,https://www.facebook.com/marketplace/item/641959755393276/,kingman_az_exact_files/488202851_524911753995307_1044994969615489661_n.jpg,$450,RYOBI 80V 10.0 Ah Lithium-Ion Battery OP801720A,"Glendale, AZ",kingman_az_exact
511973f3cb78a8a28c82694984d840a3_481354528_3574164246215260_3477119258118118125_n.jpg,Battery_+_charger_kits_(packaged),481354528_3574164246215260_3477119258118118125_n.jpg,511973f3cb78a8a28c82694984d840a3_481354528_3574164246215260_3477119258118118125_n.jpg,https://www.facebook.com/marketplace/item/886499933514505/,cedar_rapid_ia_500mi_exact_files/481354528_3574164246215260_3477119258118118125_n.jpg,$60,Ryobi 18v starter set with 4 and 2ah batteries and charger NEW,"Crown Point, IN",cedar_rapid_ia_500mi_exact
f70c62db6fcb82e8a4c945ce805171eb_484317028_972212858311607_5925720399250926065_n.jpg,Miscellaneous_single_Ryobi_tools_(uncategorized_tools),484317028_972212858311607_5925720399250926065_n.jpg,f70c62db6fcb82e8a4c945ce805171eb_484317028_972212858311607_5925720399250926065_n.jpg,https://www.facebook.com/marketplace/item/1130687635518810/,woodbury_ny_500mi_files/484317028_972212858311607_5925720399250926065_n.jpg,$48,Ryobi oscillating tool (multi tool),"Warwick, RI",woodbury_ny_500mi
77ebd1c3c47b13bbb05d570c50b9303e_405905690_24262248980088868_6190928679802363720_n.jpg,Unopened_box_–_Ryobi_hand_tools,405905690_24262248980088868_6190928679802363720_n.jpg,77ebd1c3c47b13bbb05d570c50b9303e_405905690_24262248980088868_6190928679802363720_n.jpg,https://www.facebook.com/marketplace/item/24736276805956125/,Abilene_tx_500mi_exact_files/405905690_24262248980088868_6190928679802363720_n.jpg,$95,Ryobi 18v 18-Gauge Brad Nailer (Tool-Only)$95,"Houston, TX",Abilene_tx_500mi_exact
1634b261c37df717d605963514a23c53_475328748_969860378401362_2835608820394970434_n.jpg,Ryobi_combo_kits_(2+_power_tools_together),475328748_969860378401362_2835608820394970434_n.jpg,1634b261c37df717d605963514a23c53_475328748_969860378401362_2835608820394970434_n.jpg,https://www.facebook.com/marketplace/item/965366338359072/,Abilene_tx_500mi_files/475328748_969860378401362_2835608820394970434_n.jpg,$100,"NEW Ryobi ONE+ 18V Cordless 2-Tool Combo w/ Drill/Driver, Impact Driver, x2 Batteries & Charger","Aransas Pass, TX",Abilene_tx_500mi
bd4868c35344f2c8f6396d55f4385145_491753206_1172239920876494_7229101339258684838_n.jpg,"Single_outdoor_tool_(trimmer,_blower,_mower)_(out_of_box)",491753206_1172239920876494_7229101339258684838_n.jpg,bd4868c35344f2c8f6396d55f4385145_491753206_1172239920876494_7229101339258684838_n.jpg,https://www.facebook.com/marketplace/item/562537336888310/,Abilene_tx_500mi_exact_files/491753206_1172239920876494_7229101339258684838_n.jpg,$325,Ryobi 40volt 2 battery 1 charger brand new,"Houston, TX",Abilene_tx_500mi_exact
60bb227b8038c7d3d713257ec078a96b_482643115_1837586647038662_7475250501582694551_n.jpg,Studio_shot_(white_background)_–_Ryobi,482643115_1837586647038662_7475250501582694551_n.jpg,60bb227b8038c7d3d713257ec078a96b_482643115_1837586647038662_7475250501582694551_n.jpg,https://www.facebook.com/marketplace/item/1012863537044592/,kingman_az_exact_files/482643115_1837586647038662_7475250501582694551_n.jpg,$215,Ryobi 21 degree cordless framing (tool only),"Phoenix, AZ",kingman_az_exact
fdf1bc45b6dcf71eab7fbd108755e649_344893379_6794475773914044_7969275657701529556_n.jpg,Wrong_products_(not_tools),344893379_6794475773914044_7969275657701529556_n.jpg,fdf1bc45b6dcf71eab7fbd108755e649_344893379_6794475773914044_7969275657701529556_n.jpg,https://www.facebook.com/marketplace/item/3441195876158659/,Abilene_tx_500mi_exact_files/344893379_6794475773914044_7969275657701529556_n.jpg,"$2,300",BEST PRICE ! Ashey Easy Isle Nuvella Outdoor 3 Piece Sectional Set,"Plano, TX",Abilene_tx_500mi_exact
f2a55cd57faf2921ffda126fc57c83a7_475043524_1349297409848395_6640551699048828660_n.jpg,Miscellaneous_single_Ryobi_tools_(uncategorized_tools),475043524_1349297409848395_6640551699048828660_n.jpg,f2a55cd57faf2921ffda126fc57c83a7_475043524_1349297409848395_6640551699048828660_n.jpg,https://www.facebook.com/marketplace/item/1755592008336473/,Abilene_tx_500mi_files/475043524_1349297409848395_6640551699048828660_n.jpg,$150,Ryobi table top drill press with laser,"North Richland Hills, TX",Abilene_tx_500mi
